scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
133,234.95703,885.6582,0.8588867,236.5791,862.59375,0.91552734,211.94147,869.35156,0.9511719,233.27734,873.5215,0.8642578
134,232.31055,883.9984,0.90625,233.77734,860.51416,0.94433594,209.46484,867.229,1.0,230.27539,872.47656,0.9169922
135,230.64844,879.1328,0.7993164,233.0039,856.5215,0.9433594,208.8125,864.6953,0.90966797,229.8252,868.94824,0.92285156
136,229.92188,876.562,0.7758789,232.79883,855.70703,0.95996094,208.53125,861.7461,0.8276367,229.24512,866.0625,0.8925781
137,229.60938,874.54297,0.7714844,233.8789,853.7363,1.0,209.57422,859.2803,0.8564453,229.28906,863.78125,0.8491211
138,231.09961,873.1953,0.80029297,235.71826,850.8662,1.0,209.90625,856.09766,0.8691406,229.72754,861.48145,0.9243164
139,229.69824,871.3496,0.88671875,236.0477,848.03906,1.0,208.30273,853.9658,0.96435547,228.70166,858.90137,0.9848633
140,229.39746,865.6211,0.8623047,235.94775,846.5039,1.0,209.01172,849.2363,0.9277344,227.4043,855.4043,1.0
141,230.76367,860.7412,0.7739258,235.25049,842.73926,0.9658203,211.43213,846.90625,0.7944336,228.2727,850.7363,1.0
142,228.86377,857.94727,0.7861328,237.35547,839.8203,0.93896484,212.4768,841.30664,0.78759766,228.9751,847.3164,1.0
143,228.3855,854.10547,0.82666016,237.6211,839.27344,0.90185547,214.25586,838.71094,0.76464844,228.41675,844.34546,1.0
144,226.89258,851.77454,0.8754883,237.08105,838.1992,0.95947266,212.5752,836.2986,0.8535156,227.01611,842.27246,1.0
145,227.2456,850.5547,0.85595703,237.67188,837.1543,0.96240234,213.87305,834.7451,0.8046875,227.20947,841.16797,1.0
146,226.8623,850.32715,0.8876953,237.53418,834.35547,0.9941406,211.59131,832.11914,0.8691406,226.99805,840.33984,1.0
147,226.38477,848.91016,0.8666992,236.66211,832.55273,1.0,209.88086,830.0508,0.85058594,225.8457,839.0,1.0
148,225.60742,847.58984,0.8989258,235.62402,831.6875,0.95458984,209.27539,829.91016,0.78466797,225.1582,838.15625,1.0
149,225.68555,847.4453,0.9135742,235.11865,831.6758,0.9511719,208.58203,831.7617,0.79052734,225.05469,838.31445,1.0
150,225.76562,848.78906,0.92333984,235.18213,831.9922,0.9790039,207.53125,832.6836,0.84375,224.5918,839.2031,1.0
151,225.67773,850.4414,0.92529297,234.99512,832.60156,1.0,207.45117,835.00635,0.8911133,224.31445,840.3828,1.0
152,225.36523,851.90753,0.90722656,234.79395,833.6211,1.0,207.90625,835.48584,0.8803711,224.77539,841.0664,1.0
153,225.80664,853.36816,0.90185547,234.75781,834.33594,1.0,207.97656,836.4209,0.9135742,225.20117,842.43555,1.0
154,225.67773,853.5781,0.8779297,233.86523,834.6328,0.99316406,207.83203,837.68555,0.9033203,225.09766,843.0039,1.0
