scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
118,813.9375,335.71094,0.78515625,797.1885,341.87305,0.9301758,807.73047,352.8457,0.8588867,806.34766,344.58008,1.0
119,813.51953,335.3125,0.76660156,797.0381,341.79297,0.9638672,807.77734,352.20312,0.86083984,806.24805,344.08984,1.0
120,814.03125,335.23438,0.7915039,797.76074,342.6582,0.9404297,808.64453,352.77344,0.890625,807.1465,344.71094,1.0
121,815.4297,334.83594,0.8339844,798.3711,343.93555,0.93652344,811.60425,354.57812,0.94384766,809.27734,344.81055,1.0
122,816.3906,335.31445,0.85546875,798.78125,342.8711,0.9453125,813.7422,355.67114,1.0,810.08887,345.04883,1.0
123,816.3203,335.42773,0.859375,799.0039,343.3047,0.9448242,814.52734,355.91943,0.9892578,810.5635,345.1504,1.0
124,815.875,335.67578,0.8276367,798.9492,343.70703,0.9477539,813.4971,354.90332,1.0,810.26074,345.36523,1.0
125,815.28516,335.39453,0.79541016,798.1211,344.21094,0.9272461,811.44434,354.17676,0.97021484,808.8633,344.82422,0.9848633
126,810.7666,336.41406,0.80859375,796.0344,341.83398,0.9770508,807.2539,353.26758,0.8798828,805.584,344.29688,1.0
127,808.6406,335.83203,0.8076172,795.11816,340.70117,0.99121094,806.96484,352.1504,0.85302734,803.94617,343.92578,1.0
128,809.0117,335.98047,0.8222656,795.13184,340.67285,0.98535156,807.0371,351.9336,0.8666992,804.13354,343.95312,1.0
129,809.91016,335.41406,0.81884766,794.8008,339.07666,0.98876953,806.33594,351.46875,0.86572266,803.7373,343.00195,1.0
130,810.47754,335.4297,0.8208008,794.82715,338.91016,0.9892578,806.63086,351.8672,0.88720703,804.1953,342.9121,1.0
131,811.8131,334.6797,0.7944336,794.9375,338.57812,0.99121094,808.2031,352.28906,0.8984375,805.2793,342.26172,1.0
132,811.8712,334.625,0.7915039,794.0215,337.07812,0.95458984,806.9121,352.08203,0.9038086,804.32446,341.667,1.0
133,810.5908,333.84375,0.74902344,795.2124,336.19727,0.91796875,806.10547,351.0547,0.8491211,804.1842,341.3369,1.0
134,810.1963,335.4922,0.80615234,796.26025,338.44434,0.9296875,806.1328,351.33984,0.8100586,804.5112,342.2461,1.0
135,811.38184,339.00928,0.8852539,795.89844,342.7129,0.9243164,806.3086,354.01074,0.8696289,804.9863,344.14258,1.0
136,810.83984,340.30298,0.83251953,795.87305,343.9746,0.87060547,804.58057,353.9961,0.85253906,804.30664,344.59375,1.0
137,809.99805,340.5371,0.7792969,797.8613,344.36914,0.8364258,804.49756,353.39648,0.7939453,804.18713,345.4629,0.9628906
138,810.9844,341.15234,0.7919922,797.5166,344.73047,0.8305664,804.9287,354.1211,0.81347656,804.49634,345.41797,0.9707031
139,811.6167,342.5332,0.8354492,796.0386,344.87695,0.8535156,804.96875,357.2754,0.88720703,803.8601,345.6211,0.98876953
140,812.1476,342.26758,0.8486328,796.2401,344.3164,0.8227539,806.10547,358.41992,0.8930664,804.5625,345.3047,0.98828125
141,811.4175,342.2754,0.84472656,796.8013,344.1289,0.81103516,805.0303,357.08203,0.89941406,803.9699,345.35938,0.9819336
142,812.63574,340.95605,0.7631836,798.82227,344.5586,0.7480469,807.69336,356.25952,0.73583984,805.9121,344.32812,0.8808594
143,813.8379,340.3457,0.8833008,797.0039,345.07422,0.8613281,809.0664,357.15723,0.9003906,807.26953,344.66602,1.0
144,811.877,341.07715,0.7675781,799.03125,343.51172,0.7265625,806.18164,353.23047,0.73535156,805.02734,344.61523,0.87646484
145,814.9883,339.33154,0.81347656,800.75977,344.10742,0.8105469,809.9258,355.66577,0.81591797,809.1836,343.94922,0.94921875
146,812.64307,339.36816,0.7729492,799.25,344.28906,0.77441406,807.7031,352.5586,0.77441406,807.3574,344.5254,0.8925781
147,816.11523,339.26514,0.8466797,799.0078,343.68555,0.85839844,809.78125,353.61523,0.9008789,808.4336,344.04688,1.0
148,814.4297,337.74414,0.7949219,799.4707,343.08594,0.85839844,808.7461,351.51562,0.8432617,808.83203,343.14844,0.9345703
149,817.62305,336.79102,0.8774414,797.6328,340.54297,0.9863281,809.1758,353.63867,0.87939453,809.3008,343.2168,1.0
150,817.0469,338.43457,0.84472656,797.7158,344.28906,0.91796875,810.5049,355.3286,0.9033203,809.75195,345.8164,0.99121094
151,815.59375,339.50684,0.81591797,807.90625,344.50586,0.91015625,808.5586,354.54297,0.82373047,807.6465,347.865,1.0
152,811.8759,341.31055,0.8149414,807.3789,344.76758,0.86816406,806.16406,354.12695,0.8671875,806.0371,348.49194,1.0
153,808.7617,342.07812,0.7871094,795.92255,345.66797,0.85546875,803.0073,356.22363,0.9321289,803.7344,350.03906,1.0
154,807.2461,344.51367,0.76904297,795.50854,346.19922,0.8666992,802.125,357.40137,0.9873047,802.77734,351.4375,1.0
155,806.86914,344.83203,0.7836914,795.8502,346.7295,0.87060547,802.4121,357.91992,1.0,802.86816,351.98828,1.0
156,806.666,345.05273,0.77685547,795.59814,346.33984,0.8491211,801.4043,357.90723,0.9746094,802.1924,352.04688,1.0
157,805.9502,345.9375,0.79833984,796.5244,347.146,0.83935547,802.21875,358.46094,1.0,802.71484,353.0879,1.0
158,805.9404,345.50586,0.7807617,797.3457,347.33594,0.81689453,802.751,358.3789,1.0,803.23193,352.95312,1.0
